Mass,compounds,ElementalAssignment
200.9978175,unnamed,unassigned
200.9994314,unnamed,unassigned
201.0010614,unnamed,unassigned
201.0027717,unnamed,unassigned
201.0028718,unnamed,unassigned
201.006134,unnamed,unassigned
201.0072508,unnamed,unassigned
201.0170547,unnamed,unassigned
201.0192999,condHC,CHO
201.0404192,tannin,CHO
201.0501775,unnamed,unassigned
201.0571144,unnamed,unassigned
201.0591598,protein,CHOS
201.066355,unnamed,unassigned
201.0765261,unnamed,unassigned
201.0768271,amino_sugar,CHO
201.0785793,unnamed,unassigned
201.085971,unnamed,unassigned
201.0876601,unnamed,unassigned
201.0880501,protein,CHON
201.0959089,unnamed,unassigned
201.1013822,unnamed,unassigned
201.112137,unnamed,unassigned
201.1128506,unnamed,unassigned
201.1132133,protein,CHO
201.1240684,unnamed,unassigned
201.1244413,protein,CHON
201.1492899,unnamed,unassigned
201.1496112,lipid,CHO
201.167594,unnamed,unassigned
201.1741849,unnamed,unassigned
201.1767225,unnamed,unassigned
201.17968,unnamed,unassigned
201.1996736,unnamed,unassigned
201.2090945,unnamed,unassigned
201.2517423,unnamed,unassigned
201.2564769,unnamed,unassigned
201.2821533,unnamed,unassigned
201.2853206,unnamed,unassigned
201.292707,unnamed,unassigned
201.2984059,unnamed,unassigned
201.3043982,unnamed,unassigned
201.3141771,unnamed,unassigned
201.3198281,unnamed,unassigned
201.3331512,unnamed,unassigned
201.3592163,unnamed,unassigned
201.3665461,unnamed,unassigned
201.373249,unnamed,unassigned
201.377343,unnamed,unassigned
201.3813434,unnamed,unassigned
201.3816805,unnamed,unassigned
201.399844,unnamed,unassigned
201.423084,unnamed,unassigned
201.4259318,unnamed,unassigned
201.4301818,unnamed,unassigned
201.4310974,unnamed,unassigned
201.435419,unnamed,unassigned
201.4554019,unnamed,unassigned
201.4707576,unnamed,unassigned
201.4796457,unnamed,unassigned
201.4821179,unnamed,unassigned
201.4892239,unnamed,unassigned
201.4931729,unnamed,unassigned
201.4966758,unnamed,unassigned
201.5066937,unnamed,unassigned
201.5080692,unnamed,unassigned
201.5211074,unnamed,unassigned
201.5240782,unnamed,unassigned
201.5278518,unnamed,unassigned
201.5556502,unnamed,unassigned
201.5947541,unnamed,unassigned
201.6013434,unnamed,unassigned
201.6122034,unnamed,unassigned
201.6125493,unnamed,unassigned
201.6142836,unnamed,unassigned
201.6194454,unnamed,unassigned
201.6371384,unnamed,unassigned
201.6373962,unnamed,unassigned
201.6651086,unnamed,unassigned
201.6803142,unnamed,unassigned
201.6811804,unnamed,unassigned
201.7039272,unnamed,unassigned
201.7056711,unnamed,unassigned
201.7117239,unnamed,unassigned
201.7141084,unnamed,unassigned
201.7196394,unnamed,unassigned
201.7200961,unnamed,unassigned
201.7217255,unnamed,unassigned
201.730169,unnamed,unassigned
201.7601886,unnamed,unassigned
201.7941319,unnamed,unassigned
201.7982758,unnamed,unassigned
201.800974,unnamed,unassigned
201.8013997,unnamed,unassigned
201.8018573,unnamed,unassigned
201.8020284,unnamed,unassigned
201.8050985,unnamed,unassigned
201.8084441,unnamed,unassigned
201.8144573,unnamed,unassigned
201.8177753,unnamed,unassigned
201.8579516,unnamed,unassigned
201.8707653,unnamed,unassigned
201.8854363,unnamed,unassigned
201.9306862,unnamed,unassigned
201.9359006,unnamed,unassigned
201.9361808,unnamed,unassigned
201.9406129,unnamed,unassigned
201.9524097,unnamed,unassigned
201.979964,unnamed,unassigned
201.9906572,unnamed,unassigned
201.9951297,unnamed,unassigned
201.9957472,unnamed,unassigned
202.0011579,unnamed,unassigned
202.0194407,unnamed,unassigned
202.0271722,unnamed,unassigned
202.0357137,tannin,CHON
202.0369666,unnamed,unassigned
202.0578184,unnamed,unassigned
202.0717003,unnamed,unassigned
202.0720506,amino_sugar,CHON
202.079826,unnamed,unassigned
202.0935388,unnamed,unassigned
202.1084694,protein,CHON
202.1088274,unnamed,unassigned
202.1161498,unnamed,unassigned
202.1194925,unnamed,unassigned
202.1664514,unnamed,unassigned
202.1959611,unnamed,unassigned
202.2007968,unnamed,unassigned
202.26068,unnamed,unassigned
202.274494,unnamed,unassigned
202.2758528,unnamed,unassigned
202.2763391,unnamed,unassigned
202.2873802,unnamed,unassigned
202.2975191,unnamed,unassigned
202.3027337,unnamed,unassigned
202.3103511,unnamed,unassigned
202.3125271,unnamed,unassigned
202.3383852,unnamed,unassigned
202.3549095,unnamed,unassigned
202.3625904,unnamed,unassigned
202.3664728,unnamed,unassigned
202.3821168,unnamed,unassigned
202.3935545,unnamed,unassigned
202.3976421,unnamed,unassigned
202.4130509,unnamed,unassigned
202.4263918,unnamed,unassigned
202.433259,unnamed,unassigned
202.4363434,unnamed,unassigned
202.456407,unnamed,unassigned
202.4602158,unnamed,unassigned
202.5089759,unnamed,unassigned
202.512721,unnamed,unassigned
202.5546001,unnamed,unassigned
202.5628099,unnamed,unassigned
202.5757522,unnamed,unassigned
202.61865,unnamed,unassigned
202.6195802,unnamed,unassigned
202.6274053,unnamed,unassigned
202.6537472,unnamed,unassigned
202.708779,unnamed,unassigned
202.7200081,unnamed,unassigned
202.7210189,unnamed,unassigned
202.7219027,unnamed,unassigned
202.7404336,unnamed,unassigned
202.8024951,unnamed,unassigned
202.8043704,unnamed,unassigned
202.8282211,unnamed,unassigned
202.8284248,unnamed,unassigned
202.830047,unnamed,unassigned
202.8336603,unnamed,unassigned
202.8527523,unnamed,unassigned
202.8700533,unnamed,unassigned
202.8731667,unnamed,unassigned
202.8994711,unnamed,unassigned
202.9098038,unnamed,unassigned
202.9315655,unnamed,unassigned
202.9322958,unnamed,unassigned
202.9325432,unnamed,unassigned
202.939692,unnamed,unassigned
202.941051,unnamed,unassigned
202.9752415,unnamed,unassigned
202.979236,unnamed,unassigned
202.9873387,unnamed,unassigned
202.9910762,unnamed,unassigned
203.0092434,unnamed,unassigned
203.0196906,tannin,CHO
203.0349537,condHC,CHO
203.0368493,unnamed,unassigned
203.0383291,protein,CHOS
203.0560696,carbohydrate,CHO
203.0608565,unnamed,unassigned
203.0629703,unnamed,unassigned
203.0634429,unnamed,unassigned
203.06782,unnamed,unassigned
203.0713275,lignin,CHO
203.0732133,unnamed,unassigned
203.0921831,unnamed,unassigned
203.0924752,amino_sugar,CHO
203.107741,lignin,CHO
203.1167932,unnamed,unassigned
203.1172097,unnamed,unassigned
203.1212385,unnamed,unassigned
203.1268711,unnamed,unassigned
203.1285039,unnamed,unassigned
203.1288644,protein,CHO
203.1352717,unnamed,unassigned
203.1815449,unnamed,unassigned
203.2217153,unnamed,unassigned
203.2434084,unnamed,unassigned
203.2617297,unnamed,unassigned
203.2649947,unnamed,unassigned
203.2686506,unnamed,unassigned
203.2853683,unnamed,unassigned
203.2890398,unnamed,unassigned
203.31043,unnamed,unassigned
203.3133071,unnamed,unassigned
203.3197062,unnamed,unassigned
203.3361195,unnamed,unassigned
203.3848625,unnamed,unassigned
203.3962081,unnamed,unassigned
203.4147601,unnamed,unassigned
203.430953,unnamed,unassigned
203.4371625,unnamed,unassigned
203.4406172,unnamed,unassigned
203.4805209,unnamed,unassigned
203.546881,unnamed,unassigned
203.5693408,unnamed,unassigned
203.5729703,unnamed,unassigned
203.5734407,unnamed,unassigned
203.576644,unnamed,unassigned
203.5783317,unnamed,unassigned
203.591887,unnamed,unassigned
203.601497,unnamed,unassigned
203.6452641,unnamed,unassigned
203.6481688,unnamed,unassigned
203.6549604,unnamed,unassigned
203.6609042,unnamed,unassigned
203.6696736,unnamed,unassigned
203.6791254,unnamed,unassigned
203.7285927,unnamed,unassigned
203.7317047,unnamed,unassigned
203.7477743,unnamed,unassigned
203.7529949,unnamed,unassigned
203.7785243,unnamed,unassigned
203.7811221,unnamed,unassigned
203.7828216,unnamed,unassigned
203.7838159,unnamed,unassigned
203.7845931,unnamed,unassigned
203.7877571,unnamed,unassigned
203.7946491,unnamed,unassigned
203.7984123,unnamed,unassigned
203.7990291,unnamed,unassigned
203.8115576,unnamed,unassigned
203.8206074,unnamed,unassigned
203.8351247,unnamed,unassigned
203.8391387,unnamed,unassigned
203.8420023,unnamed,unassigned
203.8442574,unnamed,unassigned
203.8646934,unnamed,unassigned
203.8660337,unnamed,unassigned
203.8681513,unnamed,unassigned
203.8805978,unnamed,unassigned
203.8809368,unnamed,unassigned
203.8858967,unnamed,unassigned
203.8991892,unnamed,unassigned
203.903497,unnamed,unassigned
203.9061553,unnamed,unassigned
203.9349548,unnamed,unassigned
203.93705,unnamed,unassigned
203.954617,unnamed,unassigned
203.9814201,unnamed,unassigned
203.9847359,unnamed,unassigned
203.9904959,lignin,CHONS
204.0020856,unnamed,unassigned
204.0157089,lipid,CHONS
204.0267428,unnamed,unassigned
204.0302391,condHC,CHON
204.0312939,unnamed,unassigned
204.0360713,unnamed,unassigned
204.0640671,unnamed,unassigned
204.0877816,amino_sugar,CHON
204.0883095,unnamed,unassigned
204.097754,unnamed,unassigned
204.1011116,unnamed,unassigned
204.1019444,unnamed,unassigned
204.1088627,unnamed,unassigned
204.1125106,unnamed,unassigned
204.1283866,unnamed,unassigned
204.1483915,unnamed,unassigned
204.1515382,unnamed,unassigned
204.1578203,unnamed,unassigned
204.1742621,unnamed,unassigned
204.1894502,unnamed,unassigned
204.1936481,unnamed,unassigned
204.1960026,unnamed,unassigned
204.2177399,unnamed,unassigned
204.221406,unnamed,unassigned
204.2346296,unnamed,unassigned
204.2440379,unnamed,unassigned
204.2462136,unnamed,unassigned
204.2608858,unnamed,unassigned
204.2723728,unnamed,unassigned
204.2883174,unnamed,unassigned
204.290901,unnamed,unassigned
204.2912143,unnamed,unassigned
204.3190061,unnamed,unassigned
204.3481537,unnamed,unassigned
204.3841275,unnamed,unassigned
204.3918876,unnamed,unassigned
204.3923324,unnamed,unassigned
204.3926386,unnamed,unassigned
204.4050517,unnamed,unassigned
204.4098641,unnamed,unassigned
204.4461421,unnamed,unassigned
204.4630903,unnamed,unassigned
204.4751981,unnamed,unassigned
204.4760695,unnamed,unassigned
204.4830267,unnamed,unassigned
204.5021447,unnamed,unassigned
204.5338035,unnamed,unassigned
204.5655153,unnamed,unassigned
204.580094,unnamed,unassigned
204.5815621,unnamed,unassigned
204.5881112,unnamed,unassigned
204.5963722,unnamed,unassigned
204.5980407,unnamed,unassigned
204.6012984,unnamed,unassigned
204.6076743,unnamed,unassigned
204.6102809,unnamed,unassigned
204.6276036,unnamed,unassigned
204.6308869,unnamed,unassigned
204.6473856,unnamed,unassigned
204.6751223,unnamed,unassigned
204.683569,unnamed,unassigned
204.7010138,unnamed,unassigned
204.7063102,unnamed,unassigned
204.7219614,unnamed,unassigned
204.7242719,unnamed,unassigned
204.7285577,unnamed,unassigned
204.7290006,unnamed,unassigned
204.7340935,unnamed,unassigned
204.7563531,unnamed,unassigned
204.7699478,unnamed,unassigned
204.7799314,unnamed,unassigned
204.7914185,unnamed,unassigned
204.7915347,unnamed,unassigned
204.7932918,unnamed,unassigned
204.7938121,unnamed,unassigned
204.7946676,unnamed,unassigned
204.8223791,unnamed,unassigned
204.8252181,unnamed,unassigned
204.8253611,unnamed,unassigned
204.8821759,unnamed,unassigned
204.8919301,unnamed,unassigned
204.8964141,unnamed,unassigned
204.8991074,unnamed,unassigned
204.9054751,unnamed,unassigned
204.9075241,unnamed,unassigned
204.946794,unnamed,unassigned
204.9482813,unnamed,unassigned
204.9500972,unnamed,unassigned
204.9772682,unnamed,unassigned
204.994282,unnamed,unassigned
204.9947001,unnamed,unassigned
205.0090549,unnamed,unassigned
205.0138393,unnamed,unassigned
205.0142211,condHC,CHO
205.0175317,tannin,CHOS
205.0245212,unnamed,unassigned
205.0249091,unnamed,unassigned
205.0349214,unnamed,unassigned
205.0353377,tannin,CHO
205.0439097,unsatHC,CHONS
205.0470402,unnamed,unassigned
205.0504597,lignin,CHO
205.0506174,lignin,CHO
205.0521538,unnamed,unassigned
205.0525174,unnamed,unassigned
205.0717194,carbohydrate,CHO
205.0799023,unnamed,unassigned
205.0869977,lignin,CHO
205.0888312,unnamed,unassigned
205.0919073,unnamed,unassigned
205.1030113,unnamed,unassigned
205.1051763,unnamed,unassigned
205.1067575,unnamed,unassigned
205.1076964,unnamed,unassigned
205.1081416,amino_sugar,CHO
205.1231679,unnamed,unassigned
205.1234503,lignin,CHO
205.1597933,lipid,CHO
205.1630249,unnamed,unassigned
205.1779955,unnamed,unassigned
205.2043202,unnamed,unassigned
205.2074919,unnamed,unassigned
205.2320554,unnamed,unassigned
205.2353321,unnamed,unassigned
205.2392323,unnamed,unassigned
205.2646726,unnamed,unassigned
205.2790375,unnamed,unassigned
205.2894312,unnamed,unassigned
205.2896914,unnamed,unassigned
205.339804,unnamed,unassigned
205.3548965,unnamed,unassigned
205.3590925,unnamed,unassigned
205.3852513,unnamed,unassigned
205.3988601,unnamed,unassigned
205.4301318,unnamed,unassigned
205.4363658,unnamed,unassigned
205.4749053,unnamed,unassigned
205.4829876,unnamed,unassigned
205.4957835,unnamed,unassigned
205.4972131,unnamed,unassigned
205.5093092,unnamed,unassigned
205.5299832,unnamed,unassigned
205.5365784,unnamed,unassigned
205.5368572,unnamed,unassigned
205.5393405,unnamed,unassigned
205.5523664,unnamed,unassigned
205.5741314,unnamed,unassigned
205.5778623,unnamed,unassigned
205.5799715,unnamed,unassigned
205.5835756,unnamed,unassigned
205.5869109,unnamed,unassigned
205.5899427,unnamed,unassigned
205.602734,unnamed,unassigned
205.6090624,unnamed,unassigned
205.613674,unnamed,unassigned
205.6404253,unnamed,unassigned
205.645486,unnamed,unassigned
205.6711346,unnamed,unassigned
205.6792209,unnamed,unassigned
205.7233221,unnamed,unassigned
205.7338591,unnamed,unassigned
205.7435349,unnamed,unassigned
205.7566777,unnamed,unassigned
205.7615653,unnamed,unassigned
205.7690781,unnamed,unassigned
205.7752803,unnamed,unassigned
205.7802608,unnamed,unassigned
205.7917356,unnamed,unassigned
205.7924844,unnamed,unassigned
205.8065188,unnamed,unassigned
205.8069649,unnamed,unassigned
205.8352949,unnamed,unassigned
205.8395091,unnamed,unassigned
205.8631607,unnamed,unassigned
205.8840792,unnamed,unassigned
205.8923788,unnamed,unassigned
205.9178094,unnamed,unassigned
205.9229093,unnamed,unassigned
205.9244462,unnamed,unassigned
205.9372595,unnamed,unassigned
205.939853,unnamed,unassigned
205.973481,unnamed,unassigned
205.9805844,unnamed,unassigned
206.0113738,unnamed,unassigned
206.0118909,unnamed,unassigned
206.0139198,lignin,CHOP
206.0143816,unnamed,unassigned
206.0195029,unnamed,unassigned
206.0220834,unnamed,unassigned
206.0355472,unnamed,unassigned
206.0369133,unnamed,unassigned
206.0492462,amino_sugar,CHONS
206.0530786,unnamed,unassigned
206.066999,carbohydrate,CHON
206.0818678,unnamed,unassigned
206.0822453,lignin,CHON
206.1320983,unnamed,unassigned
206.1471315,unnamed,unassigned
206.1515582,unnamed,unassigned
206.166526,unnamed,unassigned
206.1692942,unnamed,unassigned
206.1751024,unnamed,unassigned
206.2125006,unnamed,unassigned
206.2299716,unnamed,unassigned
206.2725896,unnamed,unassigned
206.2793615,unnamed,unassigned
206.2902637,unnamed,unassigned
206.2919008,unnamed,unassigned
206.2956943,unnamed,unassigned
206.3256377,unnamed,unassigned
206.3449126,unnamed,unassigned
206.3664805,unnamed,unassigned
206.367069,unnamed,unassigned
206.3755895,unnamed,unassigned
206.3772187,unnamed,unassigned
206.3934011,unnamed,unassigned
206.4145491,unnamed,unassigned
206.4343033,unnamed,unassigned
206.4410201,unnamed,unassigned
206.4412687,unnamed,unassigned
206.4449373,unnamed,unassigned
206.4488895,unnamed,unassigned
206.45941,unnamed,unassigned
206.4893661,unnamed,unassigned
206.4946038,unnamed,unassigned
206.4952865,unnamed,unassigned
206.5051194,unnamed,unassigned
206.5074511,unnamed,unassigned
206.5294675,unnamed,unassigned
206.5309399,unnamed,unassigned
206.5346535,unnamed,unassigned
206.5545712,unnamed,unassigned
206.572697,unnamed,unassigned
206.6234355,unnamed,unassigned
206.6280677,unnamed,unassigned
206.641248,unnamed,unassigned
206.6432528,unnamed,unassigned
206.6571107,unnamed,unassigned
206.698062,unnamed,unassigned
206.6987841,unnamed,unassigned
206.7828955,unnamed,unassigned
206.7885041,unnamed,unassigned
206.7894083,unnamed,unassigned
206.7917124,unnamed,unassigned
206.7919504,unnamed,unassigned
206.8133996,unnamed,unassigned
206.8154626,unnamed,unassigned
206.8215591,unnamed,unassigned
206.8223291,unnamed,unassigned
206.8294014,unnamed,unassigned
206.8308848,unnamed,unassigned
206.8695592,unnamed,unassigned
206.86989,unnamed,unassigned
206.8935261,unnamed,unassigned
206.8980898,unnamed,unassigned
206.8988611,unnamed,unassigned
206.90459,unnamed,unassigned
206.9060268,unnamed,unassigned
206.9204778,unnamed,unassigned
206.9227515,unnamed,unassigned
206.9272663,unnamed,unassigned
206.9435189,unnamed,unassigned
206.950465,unnamed,unassigned
206.9522854,unnamed,unassigned
206.9847501,unnamed,unassigned
206.9931058,unnamed,unassigned
206.9934959,condHC,CHO
206.9962662,unnamed,unassigned
206.9969558,tannin,CHOS
206.9991347,unnamed,unassigned
207.0120223,lignin,CHOS
207.0121604,lignin,CHOS
207.0143297,unnamed,unassigned
207.0219406,unnamed,unassigned
207.027811,unnamed,unassigned
207.0296767,unnamed,unassigned
207.0298804,lignin,CHO
207.0328729,unnamed,unassigned
207.033182,carbohydrate,CHOS
207.0362416,unnamed,unassigned
207.0510325,carbohydrate,CHO
207.0529409,unnamed,unassigned
207.066211,lignin,CHO
207.0662947,lignin,CHO
207.0681872,unnamed,unassigned
207.0696384,protein,CHOS
207.0856173,unnamed,unassigned
207.0874017,carbohydrate,CHO
207.0978406,unnamed,unassigned
207.1022922,unnamed,unassigned
207.1026659,lignin,CHO
207.1073805,unnamed,unassigned
207.1084602,unnamed,unassigned
207.111012,unnamed,unassigned
207.1256851,unnamed,unassigned
207.1295816,unnamed,unassigned
207.1324196,unnamed,unassigned
207.1389072,lipid,CHO
207.1390614,lipid,CHO
207.1494538,unnamed,unassigned
207.1600665,unnamed,unassigned
207.1871188,unnamed,unassigned
207.1939056,unnamed,unassigned
207.2103922,unnamed,unassigned
207.2182515,unnamed,unassigned
207.221924,unnamed,unassigned
207.2506445,unnamed,unassigned
207.2642237,unnamed,unassigned
207.2880831,unnamed,unassigned
207.2971066,unnamed,unassigned
207.299742,unnamed,unassigned
207.3042042,unnamed,unassigned
207.3278867,unnamed,unassigned
207.3474653,unnamed,unassigned
207.3482694,unnamed,unassigned
207.3485567,unnamed,unassigned
207.3606453,unnamed,unassigned
207.3614098,unnamed,unassigned
207.3739345,unnamed,unassigned
207.3918672,unnamed,unassigned
207.395161,unnamed,unassigned
207.3960717,unnamed,unassigned
207.4001987,unnamed,unassigned
207.400983,unnamed,unassigned
207.4061362,unnamed,unassigned
207.4290908,unnamed,unassigned
207.4558241,unnamed,unassigned
207.4628619,unnamed,unassigned
207.477717,unnamed,unassigned
207.479758,unnamed,unassigned
207.4845418,unnamed,unassigned
207.5073946,unnamed,unassigned
207.5086465,unnamed,unassigned
207.5261371,unnamed,unassigned
207.5341384,unnamed,unassigned
207.5629666,unnamed,unassigned
207.5834552,unnamed,unassigned
207.5904454,unnamed,unassigned
207.6251923,unnamed,unassigned
207.6440297,unnamed,unassigned
207.6668482,unnamed,unassigned
207.6678616,unnamed,unassigned
207.6943371,unnamed,unassigned
207.7131791,unnamed,unassigned
207.7205783,unnamed,unassigned
207.7470937,unnamed,unassigned
207.760815,unnamed,unassigned
207.7879183,unnamed,unassigned
207.7893634,unnamed,unassigned
207.7896482,unnamed,unassigned
207.7938213,unnamed,unassigned
207.8182649,unnamed,unassigned
207.8256346,unnamed,unassigned
207.8367826,unnamed,unassigned
207.8448486,unnamed,unassigned
207.8697621,unnamed,unassigned
207.8767946,unnamed,unassigned
207.9018322,unnamed,unassigned
207.9053555,unnamed,unassigned
207.912464,unnamed,unassigned
207.9399339,unnamed,unassigned
207.9715117,carbohydrate,CHONSP
207.9759145,unnamed,unassigned
208.0013018,unnamed,unassigned
208.0186827,lignin,CHONS
208.0202486,unnamed,unassigned
208.0250918,condHC,CHON
208.0326873,protein,CHOSP
208.0615339,lignin,CHON
208.0978728,lignin,CHON
208.1041641,unnamed,unassigned
208.1319986,unnamed,unassigned
208.1718415,unnamed,unassigned
208.2002184,unnamed,unassigned
208.2504409,unnamed,unassigned
208.2539604,unnamed,unassigned
208.262122,unnamed,unassigned
208.2689573,unnamed,unassigned
208.2722867,unnamed,unassigned
208.2726741,unnamed,unassigned
208.2734668,unnamed,unassigned
208.27374,unnamed,unassigned
208.2827668,unnamed,unassigned
208.3018168,unnamed,unassigned
208.3103446,unnamed,unassigned
208.3144268,unnamed,unassigned
208.3180489,unnamed,unassigned
208.3184091,unnamed,unassigned
208.3227602,unnamed,unassigned
208.3231758,unnamed,unassigned
208.3241419,unnamed,unassigned
208.3699798,unnamed,unassigned
208.3705661,unnamed,unassigned
208.3763438,unnamed,unassigned
208.3881034,unnamed,unassigned
208.4139164,unnamed,unassigned
208.4141592,unnamed,unassigned
208.4183522,unnamed,unassigned
208.4225082,unnamed,unassigned
208.4487371,unnamed,unassigned
208.4546401,unnamed,unassigned
208.468942,unnamed,unassigned
208.4709896,unnamed,unassigned
208.4764324,unnamed,unassigned
208.4786786,unnamed,unassigned
208.4992891,unnamed,unassigned
208.5046466,unnamed,unassigned
208.5159534,unnamed,unassigned
208.5727776,unnamed,unassigned
208.5731905,unnamed,unassigned
208.5755471,unnamed,unassigned
208.577939,unnamed,unassigned
208.5791413,unnamed,unassigned
208.5866602,unnamed,unassigned
208.594683,unnamed,unassigned
208.6306598,unnamed,unassigned
208.6391381,unnamed,unassigned
208.6492016,unnamed,unassigned
208.6685138,unnamed,unassigned
208.6798218,unnamed,unassigned
208.7095668,unnamed,unassigned
208.7437229,unnamed,unassigned
208.7480023,unnamed,unassigned
208.7599876,unnamed,unassigned
208.7764313,unnamed,unassigned
208.7855781,unnamed,unassigned
208.786428,unnamed,unassigned
208.7865574,unnamed,unassigned
208.7888629,unnamed,unassigned
208.7898074,unnamed,unassigned
208.8175494,unnamed,unassigned
208.8193624,unnamed,unassigned
208.8407941,unnamed,unassigned
208.844832,unnamed,unassigned
208.84523,unnamed,unassigned
208.8601392,unnamed,unassigned
208.860923,unnamed,unassigned
208.8624219,unnamed,unassigned
208.8633096,unnamed,unassigned
208.8666034,unnamed,unassigned
208.8669474,unnamed,unassigned
208.9024569,unnamed,unassigned
208.911042,unnamed,unassigned
208.9174101,unnamed,unassigned
208.9229556,lignin,CHOS
208.9345436,unnamed,unassigned
208.934633,unnamed,unassigned
208.9526369,unnamed,unassigned
208.9621733,unnamed,unassigned
208.9815003,unnamed,unassigned
208.9828678,unnamed,unassigned
208.9990324,unnamed,unassigned
209.0087525,unnamed,unassigned
209.0091462,condHC,CHO
209.0163936,unnamed,unassigned
209.0176356,unnamed,unassigned
209.0280736,protein,CHONSP
209.0436066,unnamed,unassigned
209.045168,unnamed,unassigned
209.0455269,lignin,CHO
209.0488821,carbohydrate,CHOS
209.0563549,unnamed,unassigned
209.0575548,unnamed,unassigned
209.0578882,unnamed,unassigned
209.0646392,unnamed,unassigned
209.0666522,carbohydrate,CHO
209.0791602,unnamed,unassigned
209.0795383,unnamed,unassigned
209.0819033,lignin,CHO
209.0849959,unnamed,unassigned
209.0852898,unnamed,unassigned
209.0894409,unnamed,unassigned
209.0936084,unnamed,CHONP
209.0944589,unnamed,unassigned
209.0948075,unnamed,unassigned
209.1026363,unnamed,unassigned
209.1039752,unnamed,unassigned
209.1082502,unnamed,unassigned
209.1179192,unnamed,unassigned
209.1183144,lipid,CHO
209.1546601,lipid,CHO
209.1547426,lipid,CHO
209.1592028,unnamed,unassigned
209.1639739,unnamed,unassigned
209.1934541,unnamed,unassigned
209.2124263,unnamed,unassigned
209.2210389,unnamed,unassigned
209.2259558,unnamed,unassigned
209.2460355,unnamed,unassigned
209.2524394,unnamed,unassigned
209.253355,unnamed,unassigned
209.2594515,unnamed,unassigned
209.2986121,unnamed,unassigned
209.3074031,unnamed,unassigned
209.3198998,unnamed,unassigned
209.3354609,unnamed,unassigned
209.3367431,unnamed,unassigned
209.3444071,unnamed,unassigned
209.3503594,unnamed,unassigned
209.3518144,unnamed,unassigned
209.3597268,unnamed,unassigned
209.399742,unnamed,unassigned
209.4179039,unnamed,unassigned
209.4508459,unnamed,unassigned
209.4516671,unnamed,unassigned
209.4519614,unnamed,unassigned
209.4522097,unnamed,unassigned
209.4631262,unnamed,unassigned
209.495014,unnamed,unassigned
209.5208651,unnamed,unassigned
209.5211909,unnamed,unassigned
209.5219168,unnamed,unassigned
209.541556,unnamed,unassigned
209.5631254,unnamed,unassigned
